[REJECTED] 1712716296886696720 ('DLO', <Side.SELL: 2>)
1712716366750461839 ('MKU', <Side.SELL: 2>) 2 4801 0
1712716366750461853 ('BRV', <Side.SELL: 2>) 2 4857 0
[CANCELLED] 1712716366750461819 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461824 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461825 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461826 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461827 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461828 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461829 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461820 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461830 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461832 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461833 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461834 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461835 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461821 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461836 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461838 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461840 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461841 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461822 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461842 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461844 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461845 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461846 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461847 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461823 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750461848 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750461850 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750461852 ('BRV', <Side.BUY: 1>)
1712716366750461884 ('BRV', <Side.SELL: 2>) 2 4876 0
[CANCELLED] 1712716366750461854 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461859 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461860 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461861 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461862 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461863 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461864 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461855 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461865 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461866 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461867 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461868 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461869 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461870 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461856 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461871 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461872 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461873 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461874 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461875 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461876 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461857 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461877 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461878 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461879 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461880 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461881 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461882 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461858 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750461883 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750461885 ('BRV', <Side.BUY: 1>)
1712716366750461890 ('BRV', <Side.BUY: 1>) 2 4866 1
1712716366750461889 ('IGM', <Side.BUY: 1>) 1 4662 0
1712716366750461888 ('MKU', <Side.BUY: 1>) 2 4824 0
1712716366750461915 ('BRV', <Side.BUY: 1>) 2 4847 0
1712716366750461887 ('DLO', <Side.BUY: 1>) 3 4700 0
1712716366750461886 ('EPT', <Side.BUY: 1>) 1 4810 0
1712716366750461910 ('IGM', <Side.SELL: 2>) 2 4692 0
1712716366750461903 ('MKU', <Side.BUY: 1>) 2 4804 0
[CANCELLED] 1712716366750461891 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461892 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461893 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461894 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461895 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461896 ('EPT', <Side.SELL: 2>)
1712716366750461916 ('EPT', <Side.BUY: 1>) 1 4802 8
[CANCELLED] 1712716366750461897 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461898 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461899 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461900 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461901 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461902 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461904 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461905 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461906 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461907 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461908 ('MKU', <Side.SELL: 2>)
1712716366750461918 ('MKU', <Side.BUY: 1>) 2 4802 3
[CANCELLED] 1712716366750461909 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461911 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461912 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461913 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461914 ('IGM', <Side.SELL: 2>)
1712716366750461921 ('EPT', <Side.BUY: 1>) 2 4790 0
1712716366750461946 ('BRV', <Side.SELL: 2>) 2 4862 0
1712716366750461940 ('IGM', <Side.SELL: 2>) 2 4714 0
1712716366750461923 ('EPT', <Side.BUY: 1>) 2 4770 0
[CANCELLED] 1712716366750461922 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461924 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461925 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461926 ('EPT', <Side.SELL: 2>)
1712716366750461951 ('EPT', <Side.BUY: 1>) 1 4764 11
[CANCELLED] 1712716366750461917 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461927 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461928 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461929 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461930 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461931 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461932 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461933 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461934 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461935 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461936 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461937 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461938 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461919 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461939 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461941 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461942 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461943 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461944 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461920 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750461945 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750461947 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750461948 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750461949 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750461950 ('BRV', <Side.SELL: 2>)
1712716366750461975 ('IGM', <Side.SELL: 2>) 2 4734 0
1712716366750461956 ('EPT', <Side.BUY: 1>) 2 4755 0
1712716366750461953 ('MKU', <Side.BUY: 1>) 1 4797 0
1712716366750461981 ('BRV', <Side.SELL: 2>) 2 4881 0
[CANCELLED] 1712716366750461957 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461958 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461959 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461960 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461961 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461952 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461962 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461963 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461964 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461965 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461966 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461967 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461968 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461969 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461970 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461971 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461972 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461973 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461954 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461974 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461976 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461977 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461978 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750461979 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461955 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750461980 ('BRV', <Side.BUY: 1>)
1712716366750462006 ('IGM', <Side.SELL: 2>) 2 4767 0
1712716366750461982 ('EPT', <Side.BUY: 1>) 10 4751 0
1712716366750462008 ('IGM', <Side.SELL: 2>) 2 4787 0
[CANCELLED] 1712716366750461987 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461988 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461989 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461990 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750461991 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750461992 ('EPT', <Side.SELL: 2>)
1712716366750462011 ('EPT', <Side.BUY: 1>) 10 4748 4
[CANCELLED] 1712716366750461983 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461993 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461994 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461995 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461996 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461997 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750461998 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750461984 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750461999 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462000 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462001 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462002 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462003 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462004 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750461985 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750462005 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750462007 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750462009 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750462010 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750461986 ('BRV', <Side.BUY: 1>)
1712716366750462016 ('EPT', <Side.BUY: 1>) 2 4732 0
[CANCELLED] 1712716366750462017 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462018 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462019 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462020 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462021 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462012 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462022 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462023 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462024 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462025 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462026 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462027 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462013 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462028 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462029 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462030 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462031 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462032 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462033 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462014 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750462034 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750462015 ('BRV', <Side.BUY: 1>)
1712716366750462039 ('BRV', <Side.BUY: 1>) 2 4933 0
1712716366750462037 ('MKU', <Side.BUY: 1>) 1 4831 0
1712716366750462038 ('IGM', <Side.BUY: 1>) 2 4799 0
1712716366750462064 ('BRV', <Side.BUY: 1>) 2 4913 0
1712716366750462058 ('IGM', <Side.BUY: 1>) 2 4779 0
[CANCELLED] 1712716366750462035 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462040 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462041 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462042 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462043 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462044 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462045 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462036 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462046 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462047 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462048 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462049 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462050 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462051 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462052 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462053 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462054 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462055 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462056 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462057 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462059 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462060 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750462061 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462062 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750462063 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462065 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750462066 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750462067 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750462068 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750462069 ('BRV', <Side.SELL: 2>)
1712716366750462070 ('EPT', <Side.BUY: 1>) 8 4757 0
1712716366750462073 ('IGM', <Side.BUY: 1>) 2 4762 0
[CANCELLED] 1712716366750462075 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462076 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462077 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462078 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462079 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462080 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462071 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462081 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462082 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462083 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462084 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462085 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462086 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462072 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462087 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462088 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462089 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462090 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462091 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462092 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462093 ('IGM', <Side.BUY: 1>)
1712716366750462097 ('IGM', <Side.BUY: 1>) 2 4760 5
[CANCELLED] 1712716366750462074 ('BRV', <Side.BUY: 1>)
1712716366750462117 ('IGM', <Side.BUY: 1>) 2 4745 0
1712716366750462112 ('MKU', <Side.SELL: 2>) 2 4878 0
1712716366750462119 ('IGM', <Side.BUY: 1>) 2 4725 0
1712716366750462124 ('BRV', <Side.SELL: 2>) 2 4971 0
1712716366750462121 ('IGM', <Side.BUY: 1>) 2 4705 0
[CANCELLED] 1712716366750462094 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462099 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462100 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462101 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462102 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462103 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462104 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462095 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462105 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462106 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462107 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462108 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462109 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462110 ('DLO', <Side.SELL: 2>)
1712716366750462130 ('DLO', <Side.BUY: 1>) 3 4722 0
[CANCELLED] 1712716366750462096 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462111 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462113 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462114 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462115 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462116 ('MKU', <Side.SELL: 2>)
1712716366750462131 ('MKU', <Side.BUY: 1>) 1 4860 14
[CANCELLED] 1712716366750462118 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462120 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462122 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712716366750462132 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716366750462098 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750462123 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750462125 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750462126 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750462127 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750462128 ('BRV', <Side.SELL: 2>)
1712716366750462133 ('BRV', <Side.BUY: 1>) 2 4949 30
[REJECTED] 1712716366750462152 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712716366750462154 ('IGM', <Side.BUY: 1>)
1712716366750462146 ('MKU', <Side.BUY: 1>) 2 4854 0
1712716366750462148 ('MKU', <Side.BUY: 1>) 2 4834 0
1712716366750462140 ('DLO', <Side.BUY: 1>) 2 4702 0
[CANCELLED] 1712716366750462129 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462134 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462135 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462136 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462137 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462138 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462139 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462141 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462142 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462143 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462144 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462145 ('DLO', <Side.SELL: 2>)
1712716366750462156 ('DLO', <Side.BUY: 1>) 2 4690 0
[CANCELLED] 1712716366750462147 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462149 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462150 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462151 ('MKU', <Side.SELL: 2>)
1712716366750462157 ('MKU', <Side.BUY: 1>) 1 4816 3
[CANCELLED] 1712716366750462153 ('IGM', <Side.SELL: 2>)
1712716366750462158 ('BRV', <Side.BUY: 1>) 2 4867 26
1712716366750462180 ('BRV', <Side.BUY: 1>) 2 4860 13
1712716366750462182 ('BRV', <Side.BUY: 1>) 2 4853 0
1712716366750462160 ('EPT', <Side.SELL: 2>) 2 4805 0
[CANCELLED] 1712716366750462155 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462159 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462161 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462162 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462163 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462164 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462165 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462166 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462167 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462168 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462169 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462170 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462171 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462172 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462173 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462174 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462175 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462176 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462177 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462178 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462179 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462181 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750462183 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716366750462184 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750462185 ('BRV', <Side.SELL: 2>)
1712716366750462212 ('BRV', <Side.SELL: 2>) 2 4866 0
1712716366750462186 ('EPT', <Side.BUY: 1>) 7 4801 0
[CANCELLED] 1712716366750462190 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462191 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462192 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462193 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716366750462194 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716366750462195 ('EPT', <Side.SELL: 2>)
1712716366750462217 ('EPT', <Side.BUY: 1>) 8 4801 1
[CANCELLED] 1712716366750462187 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462196 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462197 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462198 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462199 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462200 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716366750462201 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716366750462188 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462202 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462203 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462204 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462205 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462206 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716366750462207 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716366750462208 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462209 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462210 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716366750462189 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750462211 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716366750462213 ('BRV', <Side.BUY: 1>)
