[REJECTED] 1712706515662629632 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209218 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209219 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209220 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209221 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209222 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209223 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209224 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209225 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209226 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209227 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209228 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209229 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209230 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209231 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209232 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209233 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209234 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209235 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209236 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209237 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209238 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209239 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209240 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209241 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209242 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209243 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209244 ('BRV', <Side.SELL: 2>)
1712706728928209155 ('BRV', <Side.BUY: 1>) 1 5357 0
[REJECTED] 1712706728928209245 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209246 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209247 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209249 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209250 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209251 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209252 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209253 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209254 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209255 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209256 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209257 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209258 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209259 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209260 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209261 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209262 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209263 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209264 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209265 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209266 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209267 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209268 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209269 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209270 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209271 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209272 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209273 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209274 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209275 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209276 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209277 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209278 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209279 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209280 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209281 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209282 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209283 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209284 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706728928209285 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706728928209286 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209287 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209288 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209289 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209290 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706728928209291 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706728928209292 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209293 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209294 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209295 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209296 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706728928209297 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706728928209298 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209299 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209300 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706728928209301 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209302 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209303 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209304 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706728928209305 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706728928209306 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129373952 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129373953 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129373954 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129373955 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129373956 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129373957 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129373958 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129373959 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129373960 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129373961 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129373962 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129373963 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129373964 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129373965 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129373966 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129373967 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129373968 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129373969 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129373970 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129373971 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129373972 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129373973 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129373974 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129373975 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129373976 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129373977 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129373978 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129373979 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129373980 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129373981 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129373982 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129373983 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129373984 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129373985 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129373986 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129373987 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129373988 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129373989 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129373990 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129373991 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129373992 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129373993 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129373994 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129373995 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129373996 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129373997 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129373998 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129373999 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374000 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129374001 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374002 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129374003 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374004 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129374005 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129374006 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129374007 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129374008 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374009 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129374010 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374011 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129374012 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374013 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129374014 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129374015 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129374016 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374017 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374018 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129374019 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129374020 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129374021 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129374022 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129374023 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129374024 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129374025 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129374026 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129374027 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129374028 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129374029 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129374030 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374031 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129374032 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374033 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129374034 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374035 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129374036 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129374037 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129374038 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129374039 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374040 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129374041 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374042 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129374043 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374044 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129374045 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129374046 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129374047 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374048 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374049 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129374050 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129374051 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129374052 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129374053 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706756129374054 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706756129374055 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129374056 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129374057 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129374058 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129374059 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706756129374060 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706756129374061 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374062 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129374063 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374064 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129374065 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706756129374066 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706756129374067 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129374068 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129374069 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706756129374070 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374071 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129374072 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374073 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706756129374074 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706756129374075 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827264 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827265 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827266 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827267 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827268 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827269 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827270 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827271 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827272 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827273 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827274 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827275 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827276 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827277 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827278 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827279 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827280 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827281 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827282 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827283 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827284 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827285 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827286 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827287 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827288 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827289 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827290 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827291 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827292 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827293 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827294 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827295 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827296 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827297 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827298 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827299 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827300 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827301 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827302 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827303 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827304 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827305 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827306 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827307 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827308 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827309 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827310 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827311 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827312 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827313 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827314 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827315 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827316 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827317 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827318 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827319 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827320 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827321 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827322 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827323 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827324 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827325 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827326 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827327 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827328 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827329 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827330 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827331 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827332 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827333 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827334 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827335 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827336 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827337 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827338 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827339 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827340 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827341 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827342 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827343 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827344 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827345 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827346 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827347 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827348 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827349 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827350 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827351 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827352 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827353 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827354 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827355 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827356 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827357 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827358 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827359 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827360 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827361 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827362 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827363 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827364 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827365 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827366 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827367 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827368 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827369 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827370 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827371 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827372 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827373 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827374 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827375 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827376 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827377 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827378 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827379 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827380 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827381 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827382 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827383 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827384 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827385 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827386 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827387 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827388 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827389 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827390 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827391 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827392 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827393 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827394 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827395 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827396 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827397 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827398 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827399 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827400 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827401 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827402 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827403 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827404 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827405 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827406 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827407 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827408 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827409 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827410 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827411 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827412 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827413 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706767834827414 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706767834827415 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827416 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827417 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827418 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827419 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706767834827420 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706767834827421 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827422 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827423 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827424 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827425 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706767834827426 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706767834827427 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827428 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827429 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827430 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827431 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706767834827432 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706767834827433 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827434 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827435 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827436 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706767834827437 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706767834827438 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706780256867072 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706780256867073 ('MKU', <Side.BUY: 1>)
1712706780256867074 ('IGM', <Side.BUY: 1>) 1 5481 2
[REJECTED] 1712706780256867075 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706780256867076 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706780256867077 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706780256867078 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706780256867079 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706780256867080 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706780256867081 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706780256867082 ('DLO', <Side.SELL: 2>)
