[REJECTED] 1712714554023991818 ('EPT', <Side.SELL: 2>)
1712714554023992987 ('EPT', <Side.BUY: 1>) 2 4675 0
1712714554023993014 ('BRV', <Side.SELL: 2>) 2 5860 0
[CANCELLED] 1712714554023992988 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992989 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992990 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992991 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992992 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992983 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992993 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992994 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992995 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992996 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992997 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992998 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992984 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992999 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993000 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993001 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993002 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993003 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993004 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992985 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993005 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993007 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993009 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993010 ('IGM', <Side.SELL: 2>)
1712714554023993020 ('IGM', <Side.BUY: 1>) 1 6078 4
[CANCELLED] 1712714554023992986 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993011 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993013 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993015 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993016 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023993027 ('EPT', <Side.SELL: 2>)
1712714554023993021 ('BRV', <Side.BUY: 1>) 1 5870 0
1712714554023993040 ('IGM', <Side.BUY: 1>) 2 6062 0
1712714554023993023 ('EPT', <Side.SELL: 2>) 2 4706 0
[CANCELLED] 1712714554023993017 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993022 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993024 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993025 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993026 ('EPT', <Side.BUY: 1>)
1712714554023993035 ('MKU', <Side.SELL: 2>) 2 5502 0
[CANCELLED] 1712714554023993018 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993028 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993029 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993030 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993031 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993032 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993033 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993019 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993034 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993036 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993037 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993038 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993039 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993041 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993042 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993043 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993044 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993045 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993046 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993047 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023993048 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993049 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023993050 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993051 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023993062 ('EPT', <Side.SELL: 2>)
1712714554023993076 ('IGM', <Side.SELL: 2>) 2 6073 0
1712714554023993052 ('EPT', <Side.BUY: 1>) 1 4703 0
1712714554023993082 ('BRV', <Side.SELL: 2>) 2 5892 0
1712714554023993070 ('MKU', <Side.SELL: 2>) 2 5516 0
1712714554023993084 ('BRV', <Side.SELL: 2>) 2 5912 0
1712714554023993078 ('IGM', <Side.SELL: 2>) 2 6093 0
1712714554023993057 ('EPT', <Side.BUY: 1>) 2 4683 0
1712714554023993072 ('MKU', <Side.SELL: 2>) 2 5536 0
1712714554023993074 ('MKU', <Side.SELL: 2>) 2 5556 0
[CANCELLED] 1712714554023993058 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993059 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993060 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993061 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993053 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993063 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993064 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993065 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993066 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993067 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993068 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993054 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993069 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993071 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993073 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993055 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993075 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993077 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993079 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993080 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993056 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993081 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993083 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993085 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712714554023993096 ('EPT', <Side.SELL: 2>)
1712714554023993104 ('MKU', <Side.SELL: 2>) 2 5569 -14
1712714554023993116 ('BRV', <Side.SELL: 2>) 2 5990 -19
1712714554023993118 ('BRV', <Side.SELL: 2>) 2 5993 -2
1712714554023993106 ('MKU', <Side.SELL: 2>) 2 5575 0
1712714554023993086 ('EPT', <Side.BUY: 1>) 1 4684 0
1712714554023993120 ('BRV', <Side.SELL: 2>) 2 6011 0
1712714554023993110 ('IGM', <Side.SELL: 2>) 2 6122 0
[CANCELLED] 1712714554023993091 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993092 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993093 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993094 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993095 ('EPT', <Side.BUY: 1>)
1712714554023993121 ('EPT', <Side.BUY: 1>) 1 4681 4
[CANCELLED] 1712714554023993087 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993097 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993098 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993099 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993100 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993101 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993102 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993088 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993103 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993105 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993107 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993108 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993089 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993109 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993111 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993112 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993113 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993114 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993090 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993115 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993117 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993119 ('BRV', <Side.BUY: 1>)
1712714554023993125 ('BRV', <Side.BUY: 1>) 1 6000 0
1712714554023993145 ('IGM', <Side.SELL: 2>) 2 6137 -8
1712714554023993123 ('MKU', <Side.BUY: 1>) 1 5573 0
1712714554023993147 ('IGM', <Side.SELL: 2>) 2 6149 0
1712714554023993126 ('EPT', <Side.BUY: 1>) 2 4665 0
1712714554023993133 ('DLO', <Side.SELL: 2>) 2 5228 0
1712714554023993149 ('IGM', <Side.SELL: 2>) 2 6169 0
1712714554023993151 ('BRV', <Side.SELL: 2>) 2 6029 0
1712714554023993153 ('BRV', <Side.SELL: 2>) 2 6049 0
1712714554023993139 ('MKU', <Side.SELL: 2>) 2 5595 0
1712714554023993141 ('MKU', <Side.SELL: 2>) 2 5615 0
[CANCELLED] 1712714554023993127 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993128 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993129 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993130 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993131 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993122 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993132 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993134 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993135 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993136 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993137 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993138 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993140 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993142 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993143 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993124 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993144 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993146 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993148 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993150 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993152 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993154 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712714554023993165 ('EPT', <Side.SELL: 2>)
1712714554023993173 ('MKU', <Side.SELL: 2>) 2 5603 -8
1712714554023993185 ('BRV', <Side.SELL: 2>) 2 6036 -19
1712714554023993167 ('DLO', <Side.SELL: 2>) 2 5237 0
1712714554023993158 ('IGM', <Side.BUY: 1>) 1 6132 0
[CANCELLED] 1712714554023993155 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993160 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993161 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993162 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993163 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993164 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993156 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993166 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993168 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993169 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993170 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993171 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993157 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993172 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993174 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993175 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993176 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993177 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993178 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993179 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993180 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993181 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993182 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993183 ('IGM', <Side.SELL: 2>)
1712714554023993191 ('IGM', <Side.BUY: 1>) 1 6127 7
[CANCELLED] 1712714554023993159 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993184 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993186 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993187 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023993198 ('EPT', <Side.SELL: 2>)
1712714554023993192 ('BRV', <Side.BUY: 1>) 1 6021 0
1712714554023993200 ('DLO', <Side.SELL: 2>) 2 5251 0
1712714554023993211 ('IGM', <Side.BUY: 1>) 2 6114 0
1712714554023993217 ('BRV', <Side.BUY: 1>) 2 6001 0
1712714554023993194 ('EPT', <Side.SELL: 2>) 2 4717 0
[CANCELLED] 1712714554023993188 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993193 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993195 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993196 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993197 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993189 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993199 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993201 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993202 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993203 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993204 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993190 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993205 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993206 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993207 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993208 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993209 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993210 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993212 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993213 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993214 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993215 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993216 ('IGM', <Side.SELL: 2>)
1712714554023993226 ('IGM', <Side.BUY: 1>) 1 6102 13
[CANCELLED] 1712714554023993218 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023993219 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993220 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023993221 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993222 ('BRV', <Side.SELL: 2>)
1712714554023993227 ('BRV', <Side.BUY: 1>) 1 5993 9
[REJECTED] 1712714554023993233 ('EPT', <Side.SELL: 2>)
1712714554023993223 ('EPT', <Side.BUY: 1>) 1 4710 0
1712714554023993225 ('MKU', <Side.BUY: 1>) 1 5586 0
1712714554023993246 ('IGM', <Side.BUY: 1>) 2 6095 0
[CANCELLED] 1712714554023993228 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993229 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993230 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993231 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993232 ('EPT', <Side.BUY: 1>)
1712714554023993255 ('EPT', <Side.BUY: 1>) 1 4705 0
[CANCELLED] 1712714554023993224 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993234 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993235 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993236 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993237 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993238 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993239 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993240 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993241 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993242 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993243 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993244 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993245 ('MKU', <Side.SELL: 2>)
1712714554023993257 ('MKU', <Side.BUY: 1>) 1 5570 8
[CANCELLED] 1712714554023993247 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993248 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993249 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993250 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993251 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993252 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993253 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023993254 ('BRV', <Side.BUY: 1>)
1712714554023993259 ('BRV', <Side.BUY: 1>) 1 5988 8
1712714554023993272 ('MKU', <Side.BUY: 1>) 2 5558 0
1712714554023993260 ('EPT', <Side.BUY: 1>) 2 4685 0
1712714554023993279 ('IGM', <Side.SELL: 2>) 2 6116 0
1712714554023993262 ('EPT', <Side.BUY: 1>) 2 4665 0
1712714554023993281 ('IGM', <Side.SELL: 2>) 2 6136 0
1712714554023993313 ('IGM', <Side.BUY: 1>) 2 6109 0
[CANCELLED] 1712714554023993290 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993295 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993296 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993297 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993298 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993299 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023993300 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023993291 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993301 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993303 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993304 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993305 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023993306 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023993292 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993307 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993308 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993309 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993310 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993311 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023993312 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023993315 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993316 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993317 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023993318 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023993319 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023993320 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023993321 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714621255956486 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714621255956488 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714621255956490 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714621255956491 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714621255956493 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714621255956494 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714621255956495 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714621255956496 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714621255956497 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714621255956499 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714621255956501 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714621255956483 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714621255956503 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714621255956505 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714621255956507 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714621255956508 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714621255956484 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714624837624070 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714624837624071 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714624837624072 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714624837624073 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714624837624074 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714624837624065 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714624837624075 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714624837624076 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714624837624077 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714624837624078 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714624837624079 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714624837624080 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714624837624066 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714624837624081 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714624837624082 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714624837624067 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714624837624068 ('BRV', <Side.BUY: 1>)
1712714628599866883 ('IGM', <Side.BUY: 1>) 1 6187 0
[CANCELLED] 1712714628599866880 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866885 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866886 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714628599866887 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866888 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714628599866889 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866890 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714628599866881 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714628599866891 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714628599866892 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714628599866882 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714628599866884 ('BRV', <Side.BUY: 1>)
1712714628599866893 ('EPT', <Side.BUY: 1>) 1 4577 26
1712714628599866897 ('IGM', <Side.BUY: 1>) 1 6176 7
1712714628599866900 ('EPT', <Side.SELL: 2>) 2 4596 0
1712714628599866895 ('DLO', <Side.BUY: 1>) 1 5312 0
1712714628599866898 ('BRV', <Side.BUY: 1>) 1 6263 0
[CANCELLED] 1712714628599866894 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866899 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866901 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866902 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714628599866903 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866904 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714628599866905 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714628599866906 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714628599866896 ('MKU', <Side.BUY: 1>)
1712714628599866907 ('EPT', <Side.BUY: 1>) 3 4601 0
1712714628599866908 ('EPT', <Side.BUY: 1>) 10 4576 11
1712714628599866910 ('MKU', <Side.BUY: 1>) 1 5639 0
1712714628599866912 ('BRV', <Side.BUY: 1>) 1 6180 3
1712714628599866913 ('EPT', <Side.BUY: 1>) 2 4567 0
[CANCELLED] 1712714628599866914 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714628599866915 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866916 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714628599866917 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866918 ('EPT', <Side.SELL: 2>)
1712714628599866921 ('EPT', <Side.BUY: 1>) 9 4565 9
[CANCELLED] 1712714628599866909 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714628599866919 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714628599866920 ('DLO', <Side.SELL: 2>)
1712714628599866922 ('DLO', <Side.BUY: 1>) 1 5266 5
1712714628599866923 ('MKU', <Side.BUY: 1>) 1 5586 24
[CANCELLED] 1712714628599866911 ('IGM', <Side.BUY: 1>)
1712714628599866924 ('IGM', <Side.BUY: 1>) 1 6135 0
1712714628599866925 ('EPT', <Side.BUY: 1>) 2 4536 21
1712714628599866927 ('DLO', <Side.BUY: 1>) 1 5228 8
1712714628599866928 ('MKU', <Side.BUY: 1>) 1 5535 23
1712714628599866929 ('IGM', <Side.BUY: 1>) 1 6102 33
1712714628599866930 ('BRV', <Side.BUY: 1>) 1 6055 58
[CANCELLED] 1712714628599866926 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866931 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714628599866932 ('EPT', <Side.SELL: 2>)
